Transaction Date,Posted Date,Description,Category,Debit,Credit
5/1/2023,5/1/2023,EARTHBREEZE.COM,Other Services,13.07,
4/27/2023,4/28/2023,PUBLIX #1061,Merchandise,20.27,
4/28/2023,4/28/2023,TMOBILE*PREPD AUTOPY,Phone/Cable,28.4,
4/26/2023,4/27/2023,PUBLIX #1061,Merchandise,23.39,
4/25/2023,4/26/2023,PUBLIX #1061,Merchandise,18,
4/20/2023,4/25/2023,HELP HBOMAX COM KS,Entertainment,5.99,
4/23/2023,4/24/2023,CVS/PHARMACY #02943,Health Care,26.97,
4/22/2023,4/24/2023,CAFE INTERMEZZO MIDTOW,Dining,11.76,
4/22/2023,4/24/2023,WHOLEFDS AVL #10488,Merchandise,6.24,
4/22/2023,4/24/2023,TRADER JOE S #730,Merchandise,4.19,
4/11/2023,4/11/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,259.48
4/6/2023,4/7/2023,DRI*TENORSHARE.COM,Merchandise,9.59,
4/3/2023,4/4/2023,PUBLIX #1061,Merchandise,30.42,
3/30/2023,3/31/2023,DRI*Tenorshare.com,Merchandise,9.59,
3/29/2023,3/30/2023,MARTA,Other Travel,2.5,
3/28/2023,3/29/2023,MARTA,Other Travel,2.5,
3/28/2023,3/29/2023,TMOBILE*PREPD AUTOPY,Phone/Cable,28.4,
3/28/2023,3/29/2023,MARTA,Other Travel,2.5,
3/26/2023,3/27/2023,MARTA,Other Travel,2.5,
3/25/2023,3/25/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,400
3/24/2023,3/25/2023,AMZN MKTP US AMZN.COM/,Merchandise,,9.59
3/24/2023,3/25/2023,MARTA,Other Travel,2.5,
3/24/2023,3/25/2023,MARTA,Other Travel,2.5,
3/23/2023,3/24/2023,MARTA,Other Travel,2.5,
3/24/2023,3/24/2023,ZOO ATLANTAADMNET,Other Services,66.6,
3/23/2023,3/24/2023,DRI*Tenorshare.com,Merchandise,9.59,
3/23/2023,3/24/2023,MARTA,Other Travel,2.5,
3/21/2023,3/23/2023,BATH & BODY WORKS 3855,Merchandise,17.61,
3/22/2023,3/23/2023,LENOX SQUARE #77,Merchandise,27.12,
3/21/2023,3/22/2023,WHOLEFDS ATL#10650,Merchandise,19.84,
3/21/2023,3/22/2023,WHOLEFDS ATL#10650,Merchandise,9.53,
3/21/2023,3/22/2023,PUBLIX #1061,Merchandise,23.21,
3/20/2023,3/22/2023,HBO MAX INT,Other Services,5.99,
3/21/2023,3/22/2023,SEPHORA LENOX SQUARE,Merchandise,34.85,
3/20/2023,3/22/2023,THE VILLAGE VETS VIRGI,Professional Services,68,
3/20/2023,3/22/2023,SKY VIEW ATLANTA,Entertainment,37.02,
3/20/2023,3/21/2023,GeorgiaAquarium,Entertainment,52.26,
3/20/2023,3/21/2023,CVS/PHARMACY #02943,Health Care,4.4,
3/21/2023,3/21/2023,TST* DANCING GOATS COF,Dining,3.43,
3/21/2023,3/21/2023,MARTA,Other Travel,2.5,
3/20/2023,3/21/2023,DGX - ATLANTA,Merchandise,3.41,
3/20/2023,3/21/2023,TST* Atwoods Pizza Caf,Dining,13.07,
3/19/2023,3/21/2023,CITGO PIT STOP # 14,Gas/Automotive,5.26,
3/20/2023,3/21/2023,MARTA,Other Travel,2.5,
3/20/2023,3/20/2023,MARTA,Other Travel,2.5,
3/20/2023,3/20/2023,UBER   TRIP,Other Travel,19.96,
3/19/2023,3/20/2023,UBER   TRIP,Other Travel,20.16,
3/19/2023,3/20/2023,MARTA,Other Travel,2.5,
3/18/2023,3/20/2023,PUBLIX #1061,Merchandise,48.96,
3/17/2023,3/18/2023,SAVI MIDTOWN,Merchandise,7.61,
3/17/2023,3/18/2023,MARTA,Other Travel,2.5,
3/17/2023,3/18/2023,SQ *SHAKE SHACK,Dining,14.9,
3/17/2023,3/18/2023,MARTA,Other Travel,2.5,
3/16/2023,3/17/2023,WHOLEFDS PNC 10196,Merchandise,5.88,
3/16/2023,3/17/2023,WHOLEFDS PNC 10196,Merchandise,19.2,
3/16/2023,3/17/2023,TRADER JOE'S #730  QPS,Merchandise,6.24,
3/17/2023,3/17/2023,UBER   TRIP,Other Travel,11.97,
3/12/2023,3/13/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,93.89
2/23/2023,2/24/2023,TMOBILE*PREPAID WEB,Phone/Cable,28.4,
2/20/2023,2/22/2023,HELP.HBOMAX.COM,Other Services,5.99,
2/21/2023,2/22/2023,UBER   TRIP,Other Travel,10.77,
2/21/2023,2/22/2023,UBER   TRIP,Other Travel,6.69,
2/14/2023,2/15/2023,EARTHBREEZE.COM,Other Services,,13.02
2/12/2023,2/13/2023,UBER   TRIP,Other Travel,7.25,
2/12/2023,2/13/2023,UBER   TRIP,Other Travel,10.92,
2/3/2023,2/3/2023,EARTHBREEZE.COM,Other Services,13.02,
2/1/2023,2/1/2023,SP EARTH BREEZE,Merchandise,13.07,
1/28/2023,1/30/2023,MARTA,Other Travel,2.5,
1/20/2023,1/23/2023,HELP.HBOMAX.COM,Other Services,5.99,
1/3/2023,1/20/2023,PURCHASE ADJUSTMENT,Dining,,12.23
1/17/2023,1/18/2023,AMZN Mktp US,Merchandise,,36.25
12/22/2022,1/18/2023,FYBECA,Health Care,7.59,
1/12/2023,1/12/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,245.43
12/30/2022,1/12/2023,ALMACENES DE PRATI CAR,Merchandise,,47.98
1/10/2023,1/10/2023,AMZN Mktp US,Merchandise,,24.06
1/10/2023,1/10/2023,AMZN Mktp US,Merchandise,,31.57
1/10/2023,1/10/2023,AMZN Mktp US,Merchandise,,27.21
1/6/2023,1/10/2023,CAPILLA DEL HOMBRE  FU,Merchandise,7,
1/5/2023,1/10/2023,PACARI SERVICIOS FLORE,Dining,10.81,
1/7/2023,1/10/2023,EL TEATRO CCI,Entertainment,84,
1/7/2023,1/10/2023,TRAVELSTORES SA,Merchandise,3.5,
1/7/2023,1/10/2023,SWEET & COFFEE SCALA S,Dining,4.7,
1/7/2023,1/10/2023,CREPES & WAFFLES,Dining,60.57,
1/6/2023,1/10/2023,LUCIA COFFEE QUICENTRO,Dining,1.45,
1/6/2023,1/10/2023,LUCIA COFFEE QUICENTRO,Dining,1.99,
1/7/2023,1/9/2023,UBER   *TRIP,Other Travel,5.96,
1/8/2023,1/9/2023,UBER   TRIP,Other Travel,43.93,
1/8/2023,1/9/2023,MARTA,Other Travel,2.5,
1/5/2023,1/7/2023,DISCOTECA DANZATORIA V,Dining,12,
1/5/2023,1/7/2023,ECUAVICHE,Dining,1.7,
1/6/2023,1/6/2023,UBER *TRIP HELP.UBER.C,Other Travel,4.53,
1/3/2023,1/6/2023,CHOCOCYRIL CIA LTDA,Dining,4.95,
1/3/2023,1/6/2023,CHOCOCYRIL CIA LTDA,Dining,3.15,
1/5/2023,1/5/2023,UBER *TRIP HELP.UBER.C,Other Travel,5.84,
1/3/2023,1/5/2023,UBER   *TRIP,Other Travel,4.74,
1/1/2023,1/5/2023,HOT DOGS DE LA GONZALE,Dining,2.74,
12/30/2022,1/5/2023,ALMACENES DE PRATI CAR,Merchandise,47.98,
1/2/2023,1/5/2023,EL ESPANOL E025 CONDAD,Dining,1.99,
1/3/2023,1/4/2023,PMZ PIMANJOR,Dining,12.23,
