Transaction Date,Posted Date,Description,Category,Debit,Credit
4/21/2023,5/5/2023,UBER ONE STMT CRED 8690,Other Travel,,9.99
5/4/2023,5/4/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,75.04
4/21/2023,5/4/2023,UBER ONE STMT CRED 8690,Other Travel,,9.99
5/1/2023,5/2/2023,ACTIV N FIT,Other,28,
4/27/2023,4/28/2023,TM *GIMME GIMME DISCO-,Entertainment,23.6,
4/21/2023,4/22/2023,UBER   PASS,Other Travel,9.99,
4/19/2023,4/19/2023,UBER ONE STATEMENT CREDIT,Payment/Credit,,9.99
4/9/2023,4/10/2023,UBER   TRIP,Other Travel,13.2,
4/9/2023,4/10/2023,UBER   TRIP,Other Travel,10.24,
4/7/2023,4/7/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,68
4/5/2023,4/6/2023,PAYPAL *JOSEMANUELROND,Professional Services,40,
4/1/2023,4/3/2023,ACTIV N FIT,Entertainment,28,
4/1/2023,4/1/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,131.24
3/29/2023,3/29/2023,UBER   TRIP,Other Travel,10.36,
3/25/2023,3/27/2023,"CONSERVICE, LLC",Utilities,48.82,
3/25/2023,3/27/2023,UBER   TRIP,Other Travel,17.14,
3/25/2023,3/25/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,200
3/24/2023,3/25/2023,UBER   TRIP,Other Travel,17.99,
3/24/2023,3/24/2023,UBER   TRIP,Other Travel,19.61,
3/23/2023,3/24/2023,UBER   TRIP,Other Travel,12.62,
3/23/2023,3/24/2023,UBER   TRIP,Other Travel,9.28,
3/22/2023,3/23/2023,UBER   PASS,Other Travel,9.99,
3/15/2023,3/17/2023,MARTA TVM     00000018,Other Travel,3.5,
3/15/2023,3/16/2023,PUBLIX #1061,Merchandise,58.35,
3/15/2023,3/16/2023,CHEWY.COM,Merchandise,67.05,
3/13/2023,3/14/2023,TST* Atwoods Pizza Caf,Dining,9.8,
3/11/2023,3/13/2023,CVS/PHARMACY #02943,Health Care,1.84,
3/11/2023,3/13/2023,PUBLIX #1061,Merchandise,44.89,
3/6/2023,3/6/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,77.24
3/1/2023,3/2/2023,ACTIV N FIT,Entertainment,28,
2/25/2023,2/27/2023,"CONSERVICE, LLC",Utilities,49.24,
2/6/2023,2/6/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,137.32
2/1/2023,2/2/2023,ACTIV N FIT,Entertainment,25,
1/26/2023,1/27/2023,"CONSERVICE, LLC",Utilities,51.96,
1/25/2023,1/26/2023,AMZN Mktp US,Merchandise,,32.64
1/26/2023,1/26/2023,TMOBILE*PREPAID WEB,Phone/Cable,28.4,
1/17/2023,1/18/2023,AMZN Mktp US,Merchandise,,34.84
1/17/2023,1/18/2023,TM *TAKE ON ME AN S NE,Entertainment,21.35,
1/10/2023,1/11/2023,"CONSERVICE, LLC",Utilities,78.09,
1/5/2023,1/5/2023,CAPITAL ONE MOBILE PYMT,Payment/Credit,,25
1/1/2023,1/2/2023,ACTIV N FIT,Entertainment,25,
12/12/2022,12/12/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,266.67
12/3/2022,12/3/2022,AMZN Mktp US*1X3ZN1A13,Merchandise,32.64,
12/1/2022,12/2/2022,ACTIV N FIT,Entertainment,25,
11/30/2022,11/30/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,100
11/29/2022,11/30/2022,TM *TICKETMASTER,Entertainment,33.6,
11/26/2022,11/28/2022,WHOLEFDS ATL#10650,Merchandise,33.61,
11/26/2022,11/28/2022,WHOLEFDS ATL#10650,Merchandise,8.74,
11/26/2022,11/28/2022,PUBLIX #1061,Merchandise,21.38,
11/25/2022,11/26/2022,BUDI'S SUSHI,Dining,12.45,
11/25/2022,11/26/2022,ZOO ATLANTA,Other Services,3.27,
11/25/2022,11/26/2022,MARTA,Other Travel,2.5,
11/25/2022,11/26/2022,TMOBILE*PREPAID WEB,Phone/Cable,28.4,
11/25/2022,11/26/2022,AMZN Mktp US*HW5ZF1SI0,Merchandise,34.84,
11/20/2022,11/21/2022,CVS/PHARMACY #02943,Health Care,28.56,
11/20/2022,11/21/2022,PUBLIX #1061,Merchandise,58.63,
11/19/2022,11/21/2022,SHEPS MIDTOWN ACE,Merchandise,29.39,
11/18/2022,11/19/2022,MIDCITY CAFE,Dining,13.66,
11/9/2022,11/9/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,76.5
11/1/2022,11/2/2022,ACTIV N FIT,Entertainment,25,
10/15/2022,10/17/2022,WHOLEFDS ATL#10650,Merchandise,49.11,
10/15/2022,10/17/2022,PUBLIX #1061,Merchandise,28.31,
10/13/2022,10/14/2022,PUBLIX #1061,Merchandise,49.75,
10/12/2022,10/13/2022,PAY* HANDY.COM-OCT07,Other Services,,117
10/12/2022,10/12/2022,gotogate_us_LUICEV,Other Travel,41.33,
10/1/2022,10/1/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,438.12
9/28/2022,9/29/2022,WHOLEFDS ATL#10650,Merchandise,32.65,
9/28/2022,9/29/2022,PAY* HANDY.COM-OCT07,Other Services,117,
9/27/2022,9/28/2022,WHOLEFDS ATL#10650,Merchandise,5.99,
9/27/2022,9/28/2022,PUBLIX #1061,Merchandise,122.18,
9/27/2022,9/28/2022,STARBUCKS STORE 08287,Dining,5.37,
9/21/2022,9/22/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/17/2022,9/19/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/15/2022,9/16/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/14/2022,9/15/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/14/2022,9/15/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/14/2022,9/15/2022,MASABI_PAACREADY2RIDE,Other Travel,7,
9/10/2022,9/12/2022,SQ *PITTSBURGH IRISH F,Other Services,15,
9/10/2022,9/12/2022,SQ *PITTSBURGH IRISH F,Other Services,17,
9/10/2022,9/12/2022,SQ *PITTSBURGH IRISH F,Entertainment,3,
9/10/2022,9/12/2022,SQ *PITA PAUL'S GYROS,Merchandise,5,
9/9/2022,9/10/2022,KUHN'S BELLEVUE,Merchandise,46.41,
9/9/2022,9/10/2022,FAMILY DOLLAR #5518,Merchandise,1,
9/8/2022,9/9/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/7/2022,9/8/2022,GIANT-EAGLE #0065,Merchandise,33.02,
9/7/2022,9/8/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/6/2022,9/7/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/5/2022,9/5/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,43.34
9/4/2022,9/5/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/3/2022,9/5/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/2/2022,9/3/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
9/1/2022,9/2/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/31/2022,8/31/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,600
8/30/2022,8/31/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/29/2022,8/30/2022,DELTA     00623350823572,Airfare,296.2,
8/29/2022,8/30/2022,DELTA     00621621480034,Airfare,165.6,
8/25/2022,8/26/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/24/2022,8/25/2022,KUHN'S BELLEVUE,Merchandise,28.04,
8/23/2022,8/24/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/21/2022,8/22/2022,KUHN'S BELLEVUE,Merchandise,20.2,
8/21/2022,8/22/2022,CINEMARK THEATRES 1082,Entertainment,4.55,
8/21/2022,8/22/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/20/2022,8/22/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
8/19/2022,8/20/2022,TEQUILA COWBOY PITTSBU,Dining,9.5,
8/13/2022,8/13/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,305.2
8/8/2022,8/9/2022,DELTA     00623312529442,Airfare,405.2,
8/5/2022,8/5/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,96.06
7/13/2022,7/14/2022,ACTIV N FIT,Entertainment,25,
7/10/2022,7/11/2022,GIANT-EAGLE #0065,Merchandise,20.03,
7/10/2022,7/11/2022,GIANT-EAGLE #0065,Merchandise,9.73,
7/9/2022,7/11/2022,KUHN'S BELLEVUE,Merchandise,41.3,
7/6/2022,7/6/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,128.46
6/13/2022,6/14/2022,ACTIV N FIT,Entertainment,75,
6/10/2022,6/11/2022,CVS/PHARMACY #04103,Health Care,14.79,
6/10/2022,6/11/2022,KUHN'S BELLEVUE,Merchandise,34.88,
6/10/2022,6/11/2022,RITE AID 10920,Health Care,3.79,
6/3/2022,6/3/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,253.98
5/8/2022,5/11/2022,PETROCAN,Gas/Automotive,45.86,
5/9/2022,5/10/2022,KUHN'S BELLEVUE,Merchandise,25.52,
5/8/2022,5/10/2022,SMOKE'S POUTINERIE NIA,Dining,2.55,
5/8/2022,5/9/2022,NIAGARA SKYWHEEL,Entertainment,24.7,
5/8/2022,5/9/2022,SKYLON TICKETING,Dining,25.35,
5/8/2022,5/9/2022,DINOSAUR ADVENTURE GOL,Entertainment,19.39,
5/8/2022,5/9/2022,NIAGARA SPEEDWAY GO KA,Entertainment,21.17,
5/8/2022,5/9/2022,CANADA TRADING COMPANY,Merchandise,3.08,
5/8/2022,5/9/2022,TIM HORTONS #1922,Dining,2.12,
5/7/2022,5/9/2022,GREAT CANADIAN GIFTS,Dining,17.08,
5/9/2022,5/9/2022,NIAGARACRUISESUSD,Other Travel,62.88,
