Transaction Date,Posted Date,Description,Category,Debit,Credit
5/5/2022,5/6/2022,FAMILY DOLLAR #5518,Merchandise,4.28,
5/4/2022,5/4/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,64.21
4/16/2022,4/18/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/14/2022,4/15/2022,KUHN'S BELLEVUE,Merchandise,16.71,
4/13/2022,4/15/2022,BNYGRANTSTCAFE     QPS,Dining,1.87,
4/13/2022,4/14/2022,BRUEGGERS 3740,Dining,5.66,
4/13/2022,4/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/13/2022,4/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/12/2022,4/14/2022,5801 VIDEO LOUNGE & CA,Dining,9.22,
4/12/2022,4/14/2022,5801 VIDEO LOUNGE & CA,Dining,14.05,
4/12/2022,4/13/2022,CMS*LAUREL FOODSYSTEMS,Dining,1.6,
4/12/2022,4/13/2022,CMS*LAUREL FOODSYSTEMS,Dining,1.35,
4/12/2022,4/13/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/12/2022,4/13/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
4/5/2022,4/5/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,439
3/20/2022,3/21/2022,GIANT-EAGLE #0061,Merchandise,150.24,
3/18/2022,3/19/2022,KUHN'S BELLEVUE,Merchandise,13.85,
3/17/2022,3/19/2022,HOWL-PITTSBURG,Dining,40.31,
3/17/2022,3/18/2022,KUHN'S BELLEVUE,Merchandise,23.45,
3/14/2022,3/15/2022,KUHN'S BELLEVUE,Merchandise,8.33,
3/12/2022,3/15/2022,BAR 11,Dining,17,
3/13/2022,3/14/2022,KUHN'S BELLEVUE,Merchandise,28.53,
3/12/2022,3/14/2022,HOWL-PITTSBURG,Dining,10,
3/11/2022,3/14/2022,HEMINGWAYS CAFE,Dining,11.55,
3/11/2022,3/12/2022,KUHN'S BELLEVUE,Merchandise,22.19,
3/11/2022,3/12/2022,KUHN'S BELLEVUE,Merchandise,9.59,
3/8/2022,3/9/2022,CHEWY.COM,Merchandise,59.85,
3/7/2022,3/8/2022,RITE AID 10920,Health Care,5.49,
3/6/2022,3/8/2022,Stack'd Oakland,Dining,15.99,
3/6/2022,3/7/2022,CAPITAL ONE MOBILE PYMT,Payment/Credit,,176.69
3/6/2022,3/7/2022,PANDA SUPERMARKET LLC,Merchandise,22.63,
2/28/2022,3/1/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/16/2022,2/17/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/15/2022,2/16/2022,PARKHURST @ DUQUESNE U,Dining,6.25,
2/14/2022,2/15/2022,GRAND CONCOURSE,Dining,43.38,
2/14/2022,2/15/2022,PT AUTHY ALLEG TKT VEN,Other Travel,4,
2/14/2022,2/15/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/13/2022,2/14/2022,CVS/PHARMACY #04103,Health Care,13.69,
2/13/2022,2/14/2022,KUHN'S BELLEVUE,Merchandise,7.29,
2/13/2022,2/14/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/13/2022,2/14/2022,SQ *PITTSBURGH POPCORN,Merchandise,5,
2/13/2022,2/14/2022,SQ *GRANDPA JOE'S CAND,Merchandise,5.05,
2/11/2022,2/12/2022,KUHN'S BELLEVUE,Merchandise,8.41,
2/11/2022,2/12/2022,KUHN'S BELLEVUE,Merchandise,30.19,
2/11/2022,2/12/2022,MASABI_PAACREADY2RIDE,Other Travel,2.75,
2/10/2022,2/12/2022,SIENNA MERCATO,Dining,14,
2/10/2022,2/12/2022,SIENNA MERCATO,Dining,13,
2/9/2022,2/10/2022,KUHN'S BELLEVUE,Merchandise,12.68,
