Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/17/2023,04/17/2023,COMCAST CABLE COMM,Bills & Utilities,Sale,-55.00,
04/09/2023,04/09/2023,Payment Thank You-Mobile,,Payment,234.07,
03/29/2023,03/29/2023,Payment Thank You-Mobile,,Payment,400.00,
03/27/2023,03/27/2023,LEMONADE INSURANCE,Bills & Utilities,Sale,-333.68,
03/17/2023,03/17/2023,COMCAST CABLE COMM,Bills & Utilities,Sale,-55.00,
03/14/2023,03/15/2023,LEMONADE INSURANCE,Bills & Utilities,Sale,-222.70,
03/12/2023,03/13/2023,LEMONADE INSURANCE,Bills & Utilities,Return,0.35,
03/11/2023,03/12/2023,LEMONADE INSURANCE,Bills & Utilities,Sale,-23.04,
03/06/2023,03/06/2023,Payment Thank You-Mobile,,Payment,55.00,
02/17/2023,02/17/2023,COMCAST CABLE COMM,Bills & Utilities,Sale,-55.00,
02/12/2023,02/12/2023,Payment Thank You-Mobile,,Payment,133.20,
01/30/2023,01/31/2023,AMZN Mktp US,Shopping,Return,14.10,
01/18/2023,01/19/2023,Amazon.com,Shopping,Return,27.23,
01/17/2023,01/17/2023,COMCAST CABLE COMM,Bills & Utilities,Sale,-55.00,
01/15/2023,01/16/2023,CHEVRON 0053403,Gas,Sale,-4.55,
01/15/2023,01/16/2023,SQ *SHAKE SHACK,Food & Drink,Sale,-9.14,
01/14/2023,01/15/2023,Prime Video TVOD,Shopping,Return,13.99,
01/14/2023,01/15/2023,Prime Video *LS7608ZO3,Shopping,Sale,-13.99,
01/14/2023,01/15/2023,CVS/PHARMACY #02943,Health & Wellness,Sale,-7.94,
01/13/2023,01/15/2023,WHOLEFDS ATL#10650,Groceries,Sale,-60.67,
01/10/2023,01/11/2023,PUBLIX #1061,Groceries,Sale,-30.83,
01/09/2023,01/10/2023,PUBLIX #1061,Groceries,Sale,-6.40,
01/10/2023,01/10/2023,Payment Thank You-Mobile,,Payment,165.62,
01/09/2023,01/09/2023,Amazon.com*9M0IJ9FK3,Shopping,Sale,-27.75,
01/08/2023,01/09/2023,Amazon.com*PX26A3NA3,Shopping,Sale,-27.23,
01/01/2023,01/02/2023,Prime Video *O661B3Q23,Shopping,Sale,-3.99,
12/19/2022,12/20/2022,Prime Video *SQ58B6XB3,Shopping,Sale,-12.99,
12/17/2022,12/18/2022,COMCAST CABLE COMM,Bills & Utilities,Sale,-55.00,
12/10/2022,12/11/2022,Amazon.com,Shopping,Return,15.24,
12/09/2022,12/09/2022,Amazon.com*IK5E46W03,Shopping,Sale,-15.51,
12/08/2022,12/09/2022,AMZN Mktp US,Shopping,Return,30.48,
12/07/2022,12/08/2022,AMZN Mktp US*UP3NI0C33,Shopping,Sale,-10.88,
12/07/2022,12/08/2022,AMZN Mktp US*YZ4NU25J3,Shopping,Sale,-32.98,
12/07/2022,12/07/2022,Amazon.com*098Z29WH3,Shopping,Sale,-15.24,
12/06/2022,12/06/2022,Amazon.com*8580X0IJ3,Shopping,Sale,-9.77,
11/29/2022,11/30/2022,Payment Thank You-Mobile,,Payment,446.26,
